City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,kasempa,-13.4584,25.8338,11.41,64,0,2.84,ZM,1718672098
217,cururupu,-1.8283,-44.8683,22.36,97,9,0.46,BR,1718672098
218,lewistown,40.5992,-77.5714,27.67,69,0,0.0,US,1718672098
219,isafjordur,66.0755,-23.124,5.26,76,100,2.77,IS,1718672098
220,utrik,11.2278,169.8474,27.98,80,100,7.08,MH,1718672098
221,laascaanood,8.4774,47.3597,24.67,55,36,10.84,SO,1718672098
222,mokhsogollokh,61.4681,128.9203,10.72,83,100,1.53,RU,1718672099
223,nevel'sk,46.6733,141.8633,11.42,89,100,2.17,RU,1718672099
224,port alfred,-33.5906,26.891,16.21,71,0,1.79,ZA,1718671864
225,prieska,-29.6641,22.7474,7.95,81,0,2.28,ZA,1718672099
226,pokhara,28.2333,83.9833,25.06,63,53,0.6,NP,1718672099
227,korsakov,46.6328,142.7813,18.91,85,100,4.34,RU,1718672099
228,gareoult,43.3286,6.0459,19.64,68,31,1.08,FR,1718672100
229,gadzhiyevo,69.2551,33.3362,13.57,87,100,2.91,RU,1718672100
230,belchatow,51.3688,19.3567,16.7,93,100,2.94,PL,1718671978
231,ingeniero jacobacci,-41.3427,-69.5448,3.94,63,0,11.81,AR,1718672100
232,port lincoln,-34.7333,135.8667,13.55,76,100,3.35,AU,1718672100
233,kendari,-3.945,122.4989,27.6,66,99,1.35,ID,1718672100
234,severo-yeniseyskiy,60.3725,93.0408,15.04,59,100,1.99,RU,1718672100
235,tura,25.5198,90.2201,24.81,98,100,1.99,IN,1718672101
236,hancheng,32.5186,112.3522,26.72,60,100,2.28,CN,1718672101
237,rongelap,11.1635,166.8941,28.5,79,21,7.09,MH,1718672101
238,dem'yanovo,60.3511,47.0842,17.12,79,100,3.82,RU,1718672101
239,tulun,54.5611,100.5792,17.21,90,97,1.07,RU,1718672102
240,bedele,8.456,36.353,12.22,96,18,1.0,ET,1718672102
241,new plymouth,-39.0667,174.0833,13.51,100,86,3.36,NZ,1718672102
242,turinskaya sloboda,57.6232,64.3858,14.32,78,5,2.21,RU,1718672103
243,axim,4.8699,-2.2405,25.58,85,86,4.33,GH,1718672103
244,vaxjo,56.8777,14.8091,11.25,99,40,1.54,SE,1718672104
